ID,Row,Column,Selected,Value,image_url,image_url_small,,path,path,path,path,cartella,filename,observed_on,lat,long,scientific_name,common_name,taxon_kingdom_name,minaccia,origin_status,status_invasivita,phylum,classe,ordine
32,1,12,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/141159668.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/241759636/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/241759636/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,141159668.jpg,2022-11-05,45.64370203,12.21883803,Chroicocephalus ridibundus,Gabbiano comune,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Charadriiformes
33,1,13,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/65418729.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/105289589/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/105289589/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,65418729.jpg,2020-11-22,45.6433489,12.21874411,Pica pica,Gazza,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Passeriformes
34,1,14,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/65824601.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/106012037/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/106012037/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,65824601.jpg,2020-11-29,45.64418315,12.2171328,Larus michahellis,Gabbiano reale mediterraneo,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Charadriiformes
35,1,15,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/141626716.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/242673101/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/242673101/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,141626716.jpg,2022-11-10,45.64081608,12.16076338,Phalacrocorax carbo,Cormorano,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Suliformes
36,1,16,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/140273343.jpg,https://static.inaturalist.org/photos/240090081/medium.jpg,https://static.inaturalist.org/photos/240090081/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,140273343.jpg,2022-10-28,45.64751333,12.29106167,Phalacrocorax carbo,Cormorano,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Suliformes
37,1,17,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/150342841.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/259218456/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/259218456/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,150342841.jpg,2023-03-05,45.63256696,12.32406914,Grus grus,Gru,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Gruiformes
38,1,18,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/263299975.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/472989329/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/472989329/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,263299975.jpg,2025-02-27,45.64371878,12.220893,Grus grus,Gru,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Gruiformes
39,1,19,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/261855725.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/470523520/medium.jpeg,https://inaturalist-open-data.s3.amazonaws.com/photos/470523520/small.jpeg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,261855725.jpg,2025-02-16,45.64476259,12.13384386,Grus grus,Gru,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Gruiformes
40,2,0,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/24778703.jpg,https://static.inaturalist.org/photos/38321476/medium.jpg,https://static.inaturalist.org/photos/38321476/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,24778703.jpg,2019-05-08,45.64438463,12.16135431,Pernis apivorus,Falco pecchiaiolo,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Accipitriformes
41,2,1,0,/Users/ariannafaccioli/Desktop/iNaturalis/divisione/cielo/103820865.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/173857031/medium.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/173857031/small.jpg,,Users,ariannafaccioli,Desktop,iNaturalis,cielo,103820865.jpg,2021-12-28,45.64317333,12.16042,Ardea cinerea,Airone cenerino,Animalia,non_minacciata,autoctona,non_invasiva,Chordata,Aves,Pelecaniformes
